,Title,Link,Summary,Distance_Illegal Activity,Distance_Child Abuse,Distance_Hate/Harass/Violence,Distance_Malware Viruses,Distance_Physical Harm,Distance_Economic Harm,Distance_Fraud/Deception,Distance_Adult Content,Distance_Political Campaigning,Distance_Privacy Violation Activity,Distance_Tailored Financial Advice,Matched Category,Matched Distance
0,"UK and France to present Ukraine peace plan to Trump, PM says",https://www.bbc.com/news/articles/c70wnjvj1x0o,"UK and France to present Ukraine peace plan to Trump, PM says. Sir Keir Starmer also says he believes the US president wants peace, despite last week's Oval Office row with Ukraine's leader.",1.1347034,1.210206,1.1451678,1.1737672,1.171782,1.1671966,1.1784211,1.2355063,1.114163,1.1059265,1.1687701,Privacy Violation Activity,1.1059265
1,Starmer dismisses SNP call to axe Trump state visit,https://www.bbc.com/news/articles/cp3yqwd1kkko,SNP say Donald Trump needs to be a steadfast ally of Ukraine. Starmer dismisses SNP call to axe Trump state visit. SNP say they want to see a 'stronger relationship' between the two countries.,1.1176732,1.1730466,1.1319416,1.1636931,1.1729585,1.1507047,1.1634251,1.2580309,1.0732552,1.1006193,1.1462749,Political Campaigning,1.0732552
2,Protesters target JD Vance in Vermont after clash with Zelensky,https://www.bbc.com/news/articles/cdxqnxw6z73o,Protesters target JD Vance in Vermont after clash with Zelensky. They held up pro-Ukraine signs on the route that the vice-president and his family were expected to take to go skiing.,1.0862778,1.2165915,1.0889893,1.103894,1.1219326,1.1418903,1.1368521,1.2467005,1.0681753,1.0917838,1.1494793,Political Campaigning,1.0681753
3,"Girl, 4, dies after suspected arson attack",https://www.bbc.com/news/articles/c5y02ekxg95o,"A 44-year-old woman has been arrested on suspicion of arson with intent to endanger life, say police. Girl, 4, dies after suspected arson attack in south London, police say.",1.062211,1.1376792,1.1617521,1.0962365,1.0548284,1.1614295,1.1443216,1.1934379,1.1655837,1.0831717,1.1460416,Physical Harm,1.0548284
4,Australian 'fiasco' ferry ordered to leave Edinburgh,https://www.bbc.com/news/articles/cn045ld91yzo,The Spirit of Tasmania IV has been docked in Leith due to issues at the Tasmanian port. Australian 'fiasco' ferry ordered to leave Edinburgh due to problems at the port.,1.15226,1.1966288,1.2369586,1.2303386,1.1990714,1.196251,1.2186396,1.2768412,1.2366915,1.173028,1.1567461,Illegal Activity,1.15226
5,Gene Hackman loved acting but 'hated everything that went with it',https://www.bbc.com/news/articles/cvgwwyrnpzdo,"Gene Hackman loved acting but 'hated everything that went with it' Those who knew him discuss his brilliance, as well as his disdain for the trappings of Hollywood. Gene Hackman: 'I loved acting. I hated everything that goes with it.'",1.1415174,1.1760687,1.1588972,1.1471804,1.1685234,1.1223356,1.164721,1.2189863,1.1471205,1.1446139,1.1086527,Tailored Financial Advice,1.1086527
6,Private spacecraft Blue Ghost lands on Moon,https://www.bbc.com/news/articles/cd9208qv1kzo,Private spacecraft Blue Ghost lands on Moon. It was launched by Firefly Aerospace in January with the mission of exploring the Sea of Crises. Blue Ghost landed on the moon's surface on Monday.,1.1641654,1.2127424,1.2230304,1.180322,1.2071602,1.1665398,1.164583,1.2812699,1.1901765,1.1367087,1.1582673,Privacy Violation Activity,1.1367087
7,Israel blocks entry of all humanitarian aid into Gaza,https://www.bbc.com/news/articles/c9q4w99je78o,"Israel blocks entry of all humanitarian aid into Gaza. Netanyahu is demanding Hamas agree to a US plan for a ceasefire extension. Palestinian group says blocking aid is ""cheap blackmail"", Netanyahu says it is 'blackmail'",1.0751677,1.1322892,1.0886027,1.0673456,1.1168278,1.0980141,1.1222858,1.1570228,1.0875566,1.0902997,1.0861849,Malware Viruses,1.0673456
8,His name was in a child abuse diary - now his family listen to 'vile' testimony,https://www.bbc.com/news/articles/ce34v17dw53o,"Former surgeon Joël Le Scouarnec is accused of abusing hundreds of patients, most of them children. His name was in a child abuse diary - now his family listen to 'vile' testimony.",1.0567273,1.0012414,1.0657614,1.0571918,1.1002867,1.0994754,1.0705745,1.1164502,1.08757,1.0571427,1.1267252,Child Abuse,1.0012414
9,"Giving away Chagos Islands not in UK's interest, says Badenoch",https://www.bbc.com/news/articles/cwyjn92gknlo,"Badenoch says she remains opposed to a deal, despite US President Donald Trump signalling support. Giving away Chagos Islands not in UK's interest, says Badenoch. She adds: 'It is not in the interests of the UK to give them away'",1.1459453,1.1905496,1.2034925,1.1653513,1.2200357,1.1292479,1.1582617,1.2691438,1.1517966,1.1661891,1.110309,Tailored Financial Advice,1.110309
